dataset,run_mode,salience,alpha,beta,gamma,use_graph,chunking,target_min_tokens,target_max_tokens,semantic_breakpoint_percentile,semantic_min_chunk_tokens,dedup_chunks,dedup_sim_threshold,dedup_require_shared_phrase,duplicate_edge_factor,community_dedup,embedding_backend,embedding_model,llm,llm_model,pacsum_beta,pacsum_lambda1,pacsum_lambda2,entity_merge_threshold,rouge_backend,n,mean_rouge1,mean_rouge2,mean_rougeL,mean_input_tokens,mean_output_tokens,mean_llm_calls,mean_runtime_seconds,mean_chunk_count,mean_topic_count
vn_mds,graphsum,e2b,0.0,0.0,1.0,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7478018349512778,0.43543372890305143,0.39036399172396763,3917.76,336.54,1.48,7.320685269878013,8.12,1.26
vn_mds,graphsum,e2b,0.0,0.1,0.9,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7497131406490749,0.4380320374334253,0.39071586240634487,3895.7,334.12,1.46,7.252935003776802,8.12,1.25
vn_mds,graphsum,e2b,0.0,0.2,0.8,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7475662986642113,0.4331197720696826,0.3914927221523045,3921.36,341.04,1.47,7.379077922574943,8.12,1.25
vn_mds,graphsum,e2b,0.0,0.3,0.7,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7478456869214399,0.4371136561881881,0.3932880591233545,3931.41,346.65,1.5,7.470688373356825,8.12,1.28
vn_mds,graphsum,e2b,0.0,0.4,0.6,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7457106993479548,0.43604453972633395,0.3924989838071039,3941.94,352.53,1.51,7.553902792299632,8.12,1.28
vn_mds,graphsum,e2b,0.0,0.5,0.5,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7413837856811427,0.4335866012420572,0.3877917393384473,3956.12,360.29,1.54,7.689068145796191,8.12,1.3
vn_mds,graphsum,e2b,0.0,0.6,0.4,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7419969335120332,0.435079647894527,0.3919087092610725,3999.35,367.85,1.59,7.973168125927914,8.12,1.33
vn_mds,graphsum,e2b,0.0,0.7,0.3,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7375410396653496,0.4345763783083465,0.387934660025169,4215.81,431.15,1.82,8.820777808619896,8.12,1.45
vn_mds,graphsum,e2b,0.0,0.8,0.2,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7361119508065008,0.4350451090932409,0.38604415723000557,4383.48,482.21,2.03,9.624211148845497,8.12,1.57
vn_mds,graphsum,e2b,0.0,0.9,0.1,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7331448581857459,0.442846264369809,0.38452022673263203,4581.01,548.0,2.28,10.68587233724189,8.12,1.71
vn_mds,graphsum,e2b,0.0,1.0,0.0,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.719669042745997,0.4415059596500099,0.38236962715315204,5123.72,704.85,2.91,13.178227918001358,8.12,2.15
vn_mds,graphsum,e2b,0.05,0.0,0.95,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7478391265601281,0.43903173076172813,0.39104733268754793,3946.5,346.72,1.5,7.482328364918939,8.12,1.27
vn_mds,graphsum,e2b,0.05,0.1,0.85,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7449712349589893,0.43355906360901303,0.3913898274885763,3923.24,340.0,1.48,7.3835767322441095,8.12,1.26
vn_mds,graphsum,e2b,0.05,0.2,0.75,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7454288982986571,0.4374174499338597,0.395195284043077,3939.94,342.47,1.48,7.444636018138844,8.12,1.26
vn_mds,graphsum,e2b,0.05,0.3,0.65,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7440776173291873,0.43014302086215567,0.3924170098830651,3946.92,347.29,1.51,7.503141570535954,8.12,1.28
vn_mds,graphsum,e2b,0.05,0.4,0.55,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7415888408260901,0.4359739404309399,0.3936076892058118,3955.99,354.48,1.52,7.598208833846729,8.12,1.29
vn_mds,graphsum,e2b,0.05,0.5,0.45,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7452453886393647,0.437720144958159,0.39366034410536277,3967.39,367.02,1.56,7.799021449241554,8.12,1.31
vn_mds,graphsum,e2b,0.05,0.6,0.35,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7418033136178676,0.4393558123802662,0.3917521952217991,4114.72,405.75,1.7,8.433275084602647,8.12,1.39
vn_mds,graphsum,e2b,0.05,0.7,0.25,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7427787493499649,0.4402838175615156,0.3895495401662611,4298.99,455.35,1.92,9.213152863843133,8.12,1.5
vn_mds,graphsum,e2b,0.05,0.8,0.15,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7393499827650324,0.43820087169982713,0.3852598180101729,4477.79,507.7,2.14,10.042059746232116,8.12,1.64
vn_mds,graphsum,e2b,0.05,0.9,0.05,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7268457410653549,0.4410856630768579,0.3849955012305748,4857.14,627.34,2.55,11.909814857144374,8.12,1.89
vn_mds,graphsum,e2b,0.05,0.95,0.0,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7166222387191015,0.4422647087122703,0.3790253574042221,5020.62,677.31,2.76,12.704918673236389,8.12,2.03
vn_mds,graphsum,e2b,0.1,0.0,0.9,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7445005832905267,0.43620852832329876,0.39064835594636094,3924.7,347.42,1.49,7.47567660007975,8.12,1.26
vn_mds,graphsum,e2b,0.1,0.1,0.8,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.746521026954131,0.43438439058087414,0.39233302606293025,3913.83,343.3,1.48,7.417935814611846,8.12,1.25
vn_mds,graphsum,e2b,0.1,0.2,0.7,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7443734209881938,0.43056430331261053,0.3907200093938083,3942.71,347.2,1.51,7.477278731550323,8.12,1.28
vn_mds,graphsum,e2b,0.1,0.3,0.6,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7472204658219509,0.4384126342077459,0.3920971245714421,3933.35,350.63,1.51,7.545153006818145,8.12,1.28
vn_mds,graphsum,e2b,0.1,0.4,0.5,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7416286420756704,0.43456468648755625,0.39219061912143766,3987.27,369.32,1.57,7.819742860418046,8.12,1.32
vn_mds,graphsum,e2b,0.1,0.5,0.4,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7455204302074289,0.43620902211650686,0.38984407739708987,4038.95,380.91,1.63,8.006892975320806,8.12,1.35
vn_mds,graphsum,e2b,0.1,0.6,0.3,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7359963704248881,0.4321625255671904,0.389434901656605,4185.5,426.0,1.79,8.731025398449274,8.12,1.43
vn_mds,graphsum,e2b,0.1,0.7,0.2,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7384310996055412,0.43755395497381405,0.38806755399395954,4407.91,487.88,2.04,9.713666065928992,8.12,1.57
vn_mds,graphsum,e2b,0.1,0.8,0.1,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7289847350769668,0.44166695384391036,0.3856599737390482,4761.45,598.06,2.45,11.457089968125802,8.12,1.81
vn_mds,graphsum,e2b,0.1,0.9,0.0,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7278814938413849,0.4448398111346837,0.38145615667263155,5024.59,683.35,2.78,12.81415100033977,8.12,2.04
vn_mds,graphsum,e2b,0.15,0.0,0.85,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7501579939131047,0.43512950732071265,0.393919063191024,3881.24,326.55,1.44,7.138059366636444,8.12,1.23
vn_mds,graphsum,e2b,0.15,0.1,0.75,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7485325356104602,0.44059420548434153,0.3921796519513912,3891.55,342.44,1.46,7.419999192098621,8.12,1.24
vn_mds,graphsum,e2b,0.15,0.2,0.65,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7473271044718254,0.4377431454478176,0.38945845406551355,3940.27,348.83,1.51,7.519224413117627,8.12,1.27
vn_mds,graphsum,e2b,0.15,0.3,0.55,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7469662746982796,0.4335643550449905,0.3899010141679444,3984.53,365.45,1.56,7.754642554705497,8.12,1.31
vn_mds,graphsum,e2b,0.15,0.4,0.45,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7432378215750967,0.43138371960808336,0.388087497076884,4042.06,373.2,1.62,7.886641252742847,8.12,1.34
vn_mds,graphsum,e2b,0.15,0.5,0.35,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7424621092475145,0.4391946094720394,0.3923355181213355,4171.66,410.35,1.75,8.473294326227624,8.12,1.41
vn_mds,graphsum,e2b,0.15,0.6,0.25,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7394306047067265,0.44052473430199723,0.3855909597854778,4334.65,467.11,1.95,9.380522090247831,8.12,1.52
vn_mds,graphsum,e2b,0.15,0.7,0.15,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7361829972421386,0.44868320170545595,0.3922998618347945,4662.11,560.44,2.31,10.88073679661844,8.12,1.72
vn_mds,graphsum,e2b,0.15,0.8,0.05,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7285505172268151,0.4447712744971423,0.3837552534202058,4952.14,657.31,2.68,12.391353052945341,8.12,1.97
vn_mds,graphsum,e2b,0.15,0.85,0.0,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.7266148362962193,0.44410310629255656,0.38383008317889844,5078.19,689.83,2.84,12.907754607734969,8.12,2.08
vn_mds,graphsum,e2b,0.2,0.0,0.8,True,semantic,150,1500,50.0,75,True,0.85,False,0.35,True,openai_compatible,models/bge-m3,openai_compatible,/data,0.0,0.0,1.0,0.8,rouge-score,100,0.740731570120222,0.4336534745610753,0.3896863923480863,3957.81,351.03,1.52,7.5544244845781945,8.12,1.28
